folioviv,tipo_viv,mat_pared,mat_techos,mat_pisos,antiguedad,antigua_ne,cocina,cocina_dor,cuart_dorm,num_cuarto,disp_agua,dotac_agua,excusado,uso_compar,sanit_agua,biodigest,bano_comp,bano_excus,bano_regad,drenaje,disp_elect,focos_inca,focos_ahor,combustible,estufa_chi,eli_basura,tenencia,renta,estim_pago,pago_viv,pago_mesp,tipo_adqui,viv_usada,tipo_finan,num_dueno1,hog_dueno1,num_dueno2,hog_dueno2,escrituras,lavadero,fregadero,regadera,tinaco_azo,cisterna,pileta,calent_sol,calent_gas,medidor_luz,bomba_agua,tanque_gas,aire_acond,calefacc,tot_resid,tot_hom,tot_muj,tot_hog,ubica_geo,ageb,tam_loc,est_socio,est_dis,upm,factor_viv
0100274305,1,8,10,3, ,1,1,2,2,4,1,1,1,2,1,2,1,0,0,1,1,4,2,3, ,3,1,1500, , ,1, , , , , , , , ,1,1,1,1,2,2,2,1,1,1,2,2,2,4,3,1,1,010010000,000-0,1,3,004,00750,587
0100321401,1,8,10,3,33, ,1,2,3,9,1,1,1,2,1,2,2,1,0,1,1,0,17,3, ,3,4, ,1500, , ,2, ,5,01,1, , ,1,1,1,1,1,1,2,2,1,1,1,2,2,2,3,1,2,1,010010000,000-0,1,2,003,00710,524
0100321402,1,8,10,3,29, ,1,2,2,6,1,1,1,2,1,2,1,0,0,1,1,0,15,3, ,3,4, ,5500, , ,4, , ,02,1, , ,1,1,1,1,1,1,2,2,1,1,1,2,2,2,2,2,0,1,010010000,000-0,1,2,003,00710,524
0100321403,1,8,10,2, ,1,1,2,1,3,1,1,1,2,1,2,1,0,0,1,1,0,5,3, ,3,1,1100, , ,1, , , , , , , , ,1,1,1,1,2,2,2,2,1,2,2,2,2,4,2,2,1,010010000,000-0,1,2,003,00710,524
0100321404,1,8,10,2,45, ,1,2,2,4,1,1,1,2,2,2,0,1,0,1,1,6,0,3, ,3,4, ,400, , ,3, ,5,01,1, , ,1,1,2,2,2,2,2,2,2,1,2,2,2,2,2,1,1,1,010010000,000-0,1,2,003,00710,524
0100321405,1,8,10,3, ,1,1,2,3,7,1,1,1,2,1,2,3,0,0,1,1,0,11,3, ,3,2, ,3000, , , , , , , , , , ,1,1,1,1,1,2,2,1,1,1,2,2,2,9,3,6,1,010010000,000-0,1,2,003,00710,524
0100328702,2,8,10,3,10, ,1,2,3,4,1,1,1,2,1,2,1,0,0,1,1,0,8,3, ,3,1,2000, , ,1, , , , , , , , ,1,1,1,1,2,2,2,1,1,1,2,2,2,5,2,3,1,010010000,000-0,1,3,004,00470,642
0100328703,2,8,10,3,10, ,1,2,1,4,1,1,1,2,1,2,1,0,0,1,1,0,8,3, ,3,4, ,3000, , ,1,1,5,01,1, , ,1,1,1,1,1,2,2,2,2,1,1,1,2,2,2,1,1,1,010010000,000-0,1,3,004,00470,642
0100328705,2,8,10,3, ,1,1,2,1,5,1,1,1,2,1,2,2,0,0,1,1,1,7,3, ,3,1,2500, , ,1, , , , , , , , ,1,1,1,1,1,2,2,2,1,1,2,2,2,2,1,1,1,010010000,000-0,1,3,004,00470,642
0100350901,1,8,10,3,30, ,1,2,3,6,1,1,1,2,1,2,1,1,1,1,1,1,7,3, ,3,4, ,2000, , ,1,2,5,01,1, , ,1,1,1,1,1,1,2,2,1,1,1,2,2,2,5,1,4,1,010010000,000-0,1,4,005,00490,670
